location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,ensemble_member,forecast_rainfall_mm
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 15:00:00,36,36,39,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 21:00:00,42,42,45,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 03:00:00,48,48,51,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 09:00:00,54,54,57,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 15:00:00,60,60,63,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 21:00:00,66,66,69,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 03:00:00,72,72,75,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 09:00:00,78,78,81,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 15:00:00,84,84,87,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 21:00:00,90,90,93,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 03:00:00,96,96,99,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 09:00:00,102,102,105,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 15:00:00,108,108,111,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 21:00:00,114,114,117,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 03:00:00,120,120,123,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 09:00:00,126,126,129,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 15:00:00,132,132,135,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 21:00:00,138,138,141,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 03:00:00,144,144,147,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 09:00:00,150,150,153,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 15:00:00,156,156,159,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 21:00:00,162,162,165,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 03:00:00,168,168,171,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 09:00:00,174,174,177,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 15:00:00,180,180,183,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 21:00:00,186,186,189,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 03:00:00,192,192,195,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 09:00:00,198,198,201,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 15:00:00,204,204,207,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 21:00:00,210,210,213,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 03:00:00,216,216,219,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 09:00:00,222,222,225,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 15:00:00,228,228,231,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 21:00:00,234,234,237,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 03:00:00,0,0,3,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 09:00:00,6,6,9,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 15:00:00,12,12,15,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 21:00:00,18,18,21,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 03:00:00,24,24,27,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 09:00:00,30,30,33,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 15:00:00,36,36,39,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 21:00:00,42,42,45,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 03:00:00,48,48,51,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 09:00:00,54,54,57,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 15:00:00,60,60,63,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 21:00:00,66,66,69,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 03:00:00,72,72,75,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 09:00:00,78,78,81,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 15:00:00,84,84,87,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 21:00:00,90,90,93,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 03:00:00,96,96,99,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 09:00:00,102,102,105,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 15:00:00,108,108,111,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 21:00:00,114,114,117,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 03:00:00,120,120,123,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 09:00:00,126,126,129,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 15:00:00,132,132,135,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 21:00:00,138,138,141,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 03:00:00,144,144,147,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 09:00:00,150,150,153,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 15:00:00,156,156,159,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 21:00:00,162,162,165,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 03:00:00,168,168,171,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 09:00:00,174,174,177,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 15:00:00,180,180,183,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 21:00:00,186,186,189,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 03:00:00,192,192,195,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 09:00:00,198,198,201,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 15:00:00,204,204,207,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 21:00:00,210,210,213,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 03:00:00,216,216,219,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 09:00:00,222,222,225,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 15:00:00,228,228,231,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 21:00:00,234,234,237,p01,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 03:00:00,0,0,3,p02,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 09:00:00,6,6,9,p02,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 15:00:00,12,12,15,p02,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 21:00:00,18,18,21,p02,0.0
