location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error
Chennai,13.0827,80.2707,2000-01-30,2000-02-06 09:00:00,174,174,177,0.0,0.0,0.0,0.0,0.0,0.0,1.0352134704589844,-1.0352134704589844,-1.0352134704589844,1.0352134704589844,1.0352134704589844
Chennai,13.0827,80.2707,2000-01-30,2000-02-06 15:00:00,180,180,183,0.0,0.006,0.0,0.0,0.03,0.03,0.0,0.0,0.006,0.0,0.006
Chennai,13.0827,80.2707,2000-01-30,2000-02-06 21:00:00,186,186,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0033378601074218,-0.0033378601074218,-0.0033378601074218,0.0033378601074218,0.0033378601074218
Chennai,13.0827,80.2707,2000-01-30,2000-02-07 03:00:00,192,192,195,0.3,0.06,0.0,0.0,0.3,0.3,0.0748634338378906,0.2251365661621094,-0.0148634338378906,0.2251365661621094,0.0148634338378906
Chennai,13.0827,80.2707,2000-01-30,2000-02-07 09:00:00,198,198,201,0.0,0.428,0.0,0.0,2.14,2.14,0.0286102294921875,-0.0286102294921875,0.3993897705078125,0.0286102294921875,0.3993897705078125
Chennai,13.0827,80.2707,2000-01-30,2000-02-07 15:00:00,204,204,207,0.0,0.04,0.0,0.0,0.2,0.2,0.0,0.0,0.04,0.0,0.04
Chennai,13.0827,80.2707,2000-01-30,2000-02-07 21:00:00,210,210,213,0.01,0.106,0.0,0.0,0.52,0.52,0.02288818359375,-0.01288818359375,0.08311181640625,0.01288818359375,0.08311181640625
Chennai,13.0827,80.2707,2000-01-30,2000-02-08 03:00:00,216,216,219,0.0,0.0,0.0,0.0,0.0,0.0,0.7238388061523438,-0.7238388061523438,-0.7238388061523438,0.7238388061523438,0.7238388061523438
Chennai,13.0827,80.2707,2000-01-30,2000-02-08 09:00:00,222,222,225,0.0,0.2,0.0,0.0,1.0,1.0,0.2121925354003906,-0.2121925354003906,-0.012192535400390586,0.2121925354003906,0.012192535400390586
Chennai,13.0827,80.2707,2000-01-30,2000-02-08 15:00:00,228,228,231,0.01,0.002,0.0,0.0,0.01,0.01,0.0,0.01,0.002,0.01,0.002
